,Time-s,MFM-sig,MFM-flow
07.02.2023 ; 09:35:36,1476,2303,3.598541
07.02.2023 ; 09:35:38,1478,2311,3.610625
07.02.2023 ; 09:35:40,1480,2306,3.603115
07.02.2023 ; 09:35:42,1482,2286,3.57264
07.02.2023 ; 09:35:44,1484,2290,3.578701
07.02.2023 ; 09:35:46,1486,2293,3.583312
07.02.2023 ; 09:35:48,1488,2306,3.603501
07.02.2023 ; 09:35:50,1490,2306,3.60352
07.02.2023 ; 09:35:52,1492,2305,3.601296
07.02.2023 ; 09:35:54,1494,2317,3.619356
07.02.2023 ; 09:35:56,1496,2308,3.606449
07.02.2023 ; 09:35:58,1498,2296,3.588206
07.02.2023 ; 09:36:00,1500,2302,3.597417
07.02.2023 ; 09:36:02,1502,2305,3.602134
07.02.2023 ; 09:36:04,1504,2306,3.603584
07.02.2023 ; 09:36:06,1506,2303,3.599033
07.02.2023 ; 09:36:08,1508,2300,3.59279
07.02.2023 ; 09:36:10,1510,2287,3.57288
07.02.2023 ; 09:36:12,1512,2293,3.582584
07.02.2023 ; 09:36:14,1514,2306,3.602569
07.02.2023 ; 09:36:16,1516,2311,3.611078
07.02.2023 ; 09:36:18,1518,2307,3.605109
07.02.2023 ; 09:36:20,1520,2301,3.59489
07.02.2023 ; 09:36:22,1522,2317,3.620065
07.02.2023 ; 09:36:24,1524,2312,3.611817
07.02.2023 ; 09:36:26,1526,2306,3.603649
07.02.2023 ; 09:36:28,1528,2307,3.604483
07.02.2023 ; 09:36:30,1530,2313,3.614453
07.02.2023 ; 09:36:32,1532,2303,3.599083
07.02.2023 ; 09:36:34,1534,2297,3.588982
07.02.2023 ; 09:36:36,1536,2303,3.598351
07.02.2023 ; 09:36:38,1538,2310,3.608828
07.02.2023 ; 09:36:40,1540,2310,3.61006
07.02.2023 ; 09:36:42,1542,2310,3.609686
07.02.2023 ; 09:36:44,1544,2292,3.581188
07.02.2023 ; 09:36:46,1546,2297,3.588786
07.02.2023 ; 09:36:48,1548,2295,3.585383
07.02.2023 ; 09:36:50,1550,2309,3.607671
07.02.2023 ; 09:36:52,1552,2314,3.616016
07.02.2023 ; 09:36:54,1554,2319,3.623108
07.02.2023 ; 09:36:56,1556,2312,3.612888
07.02.2023 ; 09:36:58,1558,2321,3.626206
07.02.2023 ; 09:37:00,1560,2301,3.59488
07.02.2023 ; 09:37:02,1562,2297,3.589813
07.02.2023 ; 09:37:04,1564,2300,3.594408
07.02.2023 ; 09:37:06,1566,2303,3.599001
07.02.2023 ; 09:37:08,1568,2307,3.604443
07.02.2023 ; 09:37:10,1570,2319,3.623046
07.02.2023 ; 09:37:12,1572,2307,3.60479
07.02.2023 ; 09:37:14,1574,2321,3.626076
07.02.2023 ; 09:37:16,1576,2312,3.611866
07.02.2023 ; 09:37:18,1578,2315,3.617073
07.02.2023 ; 09:37:20,1580,2308,3.605693
07.02.2023 ; 09:37:22,1582,2310,3.609832
07.02.2023 ; 09:37:24,1584,2302,3.597181
07.02.2023 ; 09:37:26,1586,2310,3.610144
07.02.2023 ; 09:37:28,1588,2304,3.600081
07.02.2023 ; 09:37:30,1590,2307,3.605065
07.02.2023 ; 09:37:32,1592,2304,3.599456
07.02.2023 ; 09:37:34,1594,2291,3.580069
07.02.2023 ; 09:37:36,1596,2292,3.581166
07.02.2023 ; 09:37:38,1598,2299,3.591495
07.02.2023 ; 09:37:40,1600,2317,3.620767
07.02.2023 ; 09:37:42,1602,2314,3.616271
07.02.2023 ; 09:37:44,1604,2309,3.607755
07.02.2023 ; 09:37:46,1606,2292,3.581881
07.02.2023 ; 09:37:48,1608,2308,3.6067
07.02.2023 ; 09:37:50,1610,2313,3.613646
07.02.2023 ; 09:37:52,1612,2318,3.621877
07.02.2023 ; 09:37:54,1614,2307,3.604417
07.02.2023 ; 09:37:56,1616,2310,3.609202
07.02.2023 ; 09:37:58,1618,2315,3.616446
07.02.2023 ; 09:38:00,1620,2310,3.609325
07.02.2023 ; 09:38:02,1622,2308,3.606379
07.02.2023 ; 09:38:04,1624,2306,3.602618
07.02.2023 ; 09:38:06,1626,2304,3.599564
07.02.2023 ; 09:38:08,1628,2305,3.602848
07.02.2023 ; 09:38:10,1630,2291,3.579091
07.02.2023 ; 09:38:12,1632,2304,3.600765
07.02.2023 ; 09:38:14,1634,2274,3.553238
07.02.2023 ; 09:38:16,1636,2278,3.55888
07.02.2023 ; 09:38:18,1638,2295,3.585793
07.02.2023 ; 09:38:20,1640,2284,3.568797
07.02.2023 ; 09:38:22,1642,2302,3.596492
07.02.2023 ; 09:38:24,1644,2346,3.665127
07.02.2023 ; 09:38:26,1646,2322,3.628374
07.02.2023 ; 09:38:28,1648,2310,3.609418
07.02.2023 ; 09:38:30,1650,2322,3.628289
07.02.2023 ; 09:38:32,1652,2295,3.585974
07.02.2023 ; 09:38:34,1654,2329,3.638752
07.02.2023 ; 09:38:36,1656,2346,3.665468
07.02.2023 ; 09:38:38,1658,2326,3.635011
07.02.2023 ; 09:38:40,1660,2314,3.614874
07.02.2023 ; 09:38:42,1662,2293,3.582161
07.02.2023 ; 09:38:44,1664,2297,3.589561
07.02.2023 ; 09:38:46,1666,2302,3.597222
07.02.2023 ; 09:38:48,1668,2298,3.589901
07.02.2023 ; 09:38:50,1670,2314,3.615908
07.02.2023 ; 09:38:52,1672,2330,3.640556
07.02.2023 ; 09:38:54,1674,2300,3.594509
07.02.2023 ; 09:38:56,1676,2303,3.598588
07.02.2023 ; 09:38:58,1678,2298,3.590923
07.02.2023 ; 09:39:00,1680,2297,3.589256
07.02.2023 ; 09:39:02,1682,2303,3.597944
07.02.2023 ; 09:39:04,1684,2333,3.645582
07.02.2023 ; 09:39:06,1686,2316,3.618409
07.02.2023 ; 09:39:08,1688,2324,3.630721
07.02.2023 ; 09:39:10,1690,2316,3.619109
07.02.2023 ; 09:39:12,1692,2295,3.586535
07.02.2023 ; 09:39:14,1694,2305,3.60162
07.02.2023 ; 09:39:16,1696,2302,3.59749
07.02.2023 ; 09:39:18,1698,2303,3.598638
07.02.2023 ; 09:39:20,1700,2308,3.606738
07.02.2023 ; 09:39:22,1702,2311,3.610462
07.02.2023 ; 09:39:24,1704,2311,3.610214
07.02.2023 ; 09:39:26,1706,2313,3.61344
07.02.2023 ; 09:39:28,1708,2314,3.615126
07.02.2023 ; 09:39:30,1710,2303,3.599203
07.02.2023 ; 09:39:32,1712,2312,3.611734
07.02.2023 ; 09:39:34,1714,2310,3.609914
07.02.2023 ; 09:39:36,1716,2312,3.612101
07.02.2023 ; 09:39:38,1718,2297,3.588762
07.02.2023 ; 09:39:40,1720,2309,3.60704
07.02.2023 ; 09:39:42,1722,2314,3.615489
07.02.2023 ; 09:39:44,1724,2319,3.623687
07.02.2023 ; 09:39:46,1726,2315,3.617754
07.02.2023 ; 09:39:48,1728,2312,3.612939
07.02.2023 ; 09:39:50,1730,2311,3.610157
07.02.2023 ; 09:39:52,1732,2304,3.600359
07.02.2023 ; 09:39:54,1734,2305,3.601424
07.02.2023 ; 09:39:56,1736,2307,3.605053
07.02.2023 ; 09:39:58,1738,2311,3.610398
07.02.2023 ; 09:40:00,1740,2304,3.600174
07.02.2023 ; 09:40:02,1742,2310,3.609743
07.02.2023 ; 09:40:04,1744,2308,3.606877
07.02.2023 ; 09:40:06,1746,2308,3.605412
07.02.2023 ; 09:40:08,1748,2312,3.612988
07.02.2023 ; 09:40:10,1750,2310,3.608913
07.02.2023 ; 09:40:12,1752,2304,3.599503
07.02.2023 ; 09:40:14,1754,2306,3.602611
07.02.2023 ; 09:40:16,1756,2310,3.609055
07.02.2023 ; 09:40:18,1758,2306,3.60386
07.02.2023 ; 09:40:20,1760,2300,3.594333
07.02.2023 ; 09:40:22,1762,2274,3.55262
07.02.2023 ; 09:40:24,1764,2310,3.609068
07.02.2023 ; 09:40:26,1766,2309,3.607553
07.02.2023 ; 09:40:28,1768,2304,3.6002
07.02.2023 ; 09:40:30,1770,2300,3.593029
07.02.2023 ; 09:40:32,1772,2339,3.65519
07.02.2023 ; 09:40:34,1774,2321,3.626137
07.02.2023 ; 09:40:36,1776,2308,3.606447
07.02.2023 ; 09:40:38,1778,2308,3.605535
07.02.2023 ; 09:40:40,1780,2300,3.594306
07.02.2023 ; 09:40:42,1782,2304,3.599665
07.02.2023 ; 09:40:44,1784,2303,3.598434
07.02.2023 ; 09:40:46,1786,2308,3.606899
07.02.2023 ; 09:40:48,1788,2303,3.597578
07.02.2023 ; 09:40:50,1790,2305,3.601275
07.02.2023 ; 09:40:52,1792,2299,3.592817
07.02.2023 ; 09:40:54,1794,2288,3.57506
07.02.2023 ; 09:40:56,1796,2284,3.569276
07.02.2023 ; 09:40:58,1798,2302,3.597638
07.02.2023 ; 09:41:00,1800,2316,3.619287
07.02.2023 ; 09:41:02,1802,2323,3.628937
07.02.2023 ; 09:41:04,1804,2311,3.610954
07.02.2023 ; 09:41:06,1806,2305,3.600821
07.02.2023 ; 09:41:08,1808,2316,3.618841
07.02.2023 ; 09:41:10,1810,2308,3.605691
07.02.2023 ; 09:41:12,1812,2318,3.621608
07.02.2023 ; 09:41:14,1814,2309,3.608123
07.02.2023 ; 09:41:16,1816,2308,3.606768
07.02.2023 ; 09:41:18,1818,2308,3.606201
07.02.2023 ; 09:41:20,1820,2290,3.57829
07.02.2023 ; 09:41:22,1822,2278,3.560054
07.02.2023 ; 09:41:24,1824,2293,3.582458
07.02.2023 ; 09:41:26,1826,2330,3.641448
07.02.2023 ; 09:41:28,1828,2311,3.611697
07.02.2023 ; 09:41:30,1830,2307,3.60477
07.02.2023 ; 09:41:32,1832,2304,3.600397
07.02.2023 ; 09:41:34,1834,2312,3.612372
07.02.2023 ; 09:41:36,1836,2309,3.608349
07.02.2023 ; 09:41:38,1838,2310,3.608729
07.02.2023 ; 09:41:40,1840,2298,3.591306
07.02.2023 ; 09:41:42,1842,2305,3.600971
07.02.2023 ; 09:41:44,1844,2310,3.608649
07.02.2023 ; 09:41:46,1846,2300,3.594075
07.02.2023 ; 09:41:48,1848,2298,3.591493
07.02.2023 ; 09:41:50,1850,2308,3.60566
07.02.2023 ; 09:41:52,1852,2313,3.613921
07.02.2023 ; 09:41:54,1854,2311,3.610602
07.02.2023 ; 09:41:56,1856,2310,3.608893
07.02.2023 ; 09:41:58,1858,2306,3.602689
07.02.2023 ; 09:42:00,1860,2297,3.588749
07.02.2023 ; 09:42:02,1862,2276,3.556291
07.02.2023 ; 09:42:04,1864,2295,3.585678
07.02.2023 ; 09:42:06,1866,2320,3.625597
07.02.2023 ; 09:42:08,1868,2311,3.610188
07.02.2023 ; 09:42:10,1870,2304,3.600461
07.02.2023 ; 09:42:12,1872,2313,3.614488
07.02.2023 ; 09:42:14,1874,2312,3.612704
07.02.2023 ; 09:42:16,1876,2305,3.602497
07.02.2023 ; 09:42:18,1878,2309,3.608143
07.02.2023 ; 09:42:20,1880,2295,3.586627
07.02.2023 ; 09:42:22,1882,2287,3.573537
07.02.2023 ; 09:42:24,1884,2297,3.588412
07.02.2023 ; 09:42:26,1886,2330,3.640915
07.02.2023 ; 09:42:28,1888,2340,3.656283
07.02.2023 ; 09:42:30,1890,2324,3.631911
07.02.2023 ; 09:42:32,1892,2301,3.595757
07.02.2023 ; 09:42:34,1894,2308,3.606828
07.02.2023 ; 09:42:36,1896,2301,3.595962
07.02.2023 ; 09:42:38,1898,2298,3.590878
07.02.2023 ; 09:42:40,1900,2301,3.595057
07.02.2023 ; 09:42:42,1902,2300,3.59426
07.02.2023 ; 09:42:44,1904,2300,3.594171
07.02.2023 ; 09:42:46,1906,2311,3.611461
07.02.2023 ; 09:42:48,1908,2290,3.57825
07.02.2023 ; 09:42:50,1910,2296,3.586823
07.02.2023 ; 09:42:52,1912,2307,3.604138
07.02.2023 ; 09:42:54,1914,2306,3.603052
07.02.2023 ; 09:42:56,1916,2314,3.616037
07.02.2023 ; 09:42:58,1918,2311,3.611279
07.02.2023 ; 09:43:00,1920,2307,3.604173
07.02.2023 ; 09:43:02,1922,2310,3.609323
07.02.2023 ; 09:43:04,1924,2311,3.611715
07.02.2023 ; 09:43:06,1926,2308,3.605529
07.02.2023 ; 09:43:08,1928,2301,3.595561
07.02.2023 ; 09:43:10,1930,2314,3.615812
07.02.2023 ; 09:43:12,1932,2310,3.608603
07.02.2023 ; 09:43:14,1934,2310,3.608639
07.02.2023 ; 09:43:16,1936,2315,3.616452
07.02.2023 ; 09:43:18,1938,2310,3.608919
07.02.2023 ; 09:43:20,1940,2310,3.610135
07.02.2023 ; 09:43:22,1942,2313,3.614632
07.02.2023 ; 09:43:24,1944,2303,3.598701
07.02.2023 ; 09:43:26,1946,2300,3.595054
07.02.2023 ; 09:43:28,1948,2301,3.595028
07.02.2023 ; 09:43:30,1950,2300,3.594147
07.02.2023 ; 09:43:32,1952,2273,3.551571
07.02.2023 ; 09:43:34,1954,2306,3.60307
07.02.2023 ; 09:43:36,1956,2317,3.620944
07.02.2023 ; 09:43:38,1958,2307,3.60537
07.02.2023 ; 09:43:40,1960,2302,3.597632
07.02.2023 ; 09:43:42,1962,2302,3.597085
07.02.2023 ; 09:43:44,1964,2305,3.599665
07.02.2023 ; 09:43:46,1966,2306,3.602901
07.02.2023 ; 09:43:48,1968,2303,3.599348
07.02.2023 ; 09:43:50,1970,2301,3.594838
07.02.2023 ; 09:43:52,1972,2304,3.599701
07.02.2023 ; 09:43:54,1974,2298,3.591093
07.02.2023 ; 09:43:56,1976,2303,3.598284
07.02.2023 ; 09:43:58,1978,2303,3.598917
07.02.2023 ; 09:44:00,1980,2308,3.605471
07.02.2023 ; 09:44:02,1982,2326,3.63363
07.02.2023 ; 09:44:04,1984,2308,3.606467
07.02.2023 ; 09:44:06,1986,2314,3.615419
07.02.2023 ; 09:44:08,1988,2308,3.605778
07.02.2023 ; 09:44:10,1990,2315,3.616743
07.02.2023 ; 09:44:12,1992,2315,3.61656
07.02.2023 ; 09:44:14,1994,2318,3.621698
07.02.2023 ; 09:44:16,1996,2303,3.598012
07.02.2023 ; 09:44:18,1998,2286,3.572003
07.02.2023 ; 09:44:20,2000,2305,3.601887
07.02.2023 ; 09:44:22,2002,2297,3.589576
07.02.2023 ; 09:44:24,2004,2312,3.613045
07.02.2023 ; 09:44:26,2006,2315,3.616714
07.02.2023 ; 09:44:28,2008,2312,3.613107
07.02.2023 ; 09:44:30,2010,2311,3.610345
07.02.2023 ; 09:44:32,2012,2327,3.636165
07.02.2023 ; 09:44:34,2014,2321,3.626023
07.02.2023 ; 09:44:36,2016,2319,3.624125
07.02.2023 ; 09:44:38,2018,2325,3.633044
07.02.2023 ; 09:44:40,2020,2323,3.630402
07.02.2023 ; 09:44:42,2022,2316,3.618061
07.02.2023 ; 09:44:44,2024,2305,3.601917
07.02.2023 ; 09:44:46,2026,2312,3.612267
07.02.2023 ; 09:44:48,2028,2311,3.611683
07.02.2023 ; 09:44:50,2030,2319,3.622859
07.02.2023 ; 09:44:52,2032,2313,3.6148
07.02.2023 ; 09:44:54,2034,2312,3.612398
07.02.2023 ; 09:44:56,2036,2324,3.63179
07.02.2023 ; 09:44:58,2038,2314,3.616305
07.02.2023 ; 09:45:00,2040,2311,3.610298
07.02.2023 ; 09:45:02,2042,2309,3.607165
07.02.2023 ; 09:45:04,2044,2303,3.598049
07.02.2023 ; 09:45:06,2046,2304,3.600304
07.02.2023 ; 09:45:08,2048,2307,3.604469
07.02.2023 ; 09:45:10,2050,2316,3.619242
07.02.2023 ; 09:45:12,2052,2315,3.617372
07.02.2023 ; 09:45:14,2054,2334,3.647181
07.02.2023 ; 09:45:16,2056,2323,3.629006
07.02.2023 ; 09:45:18,2058,2318,3.621397
07.02.2023 ; 09:45:20,2060,2318,3.621957
07.02.2023 ; 09:45:22,2062,2323,3.62971
07.02.2023 ; 09:45:24,2064,2319,3.622698
07.02.2023 ; 09:45:26,2066,2331,3.64294
07.02.2023 ; 09:45:28,2068,2323,3.629114
07.02.2023 ; 09:45:30,2070,2322,3.628252
07.02.2023 ; 09:45:32,2072,2321,3.626735
07.02.2023 ; 09:45:34,2074,2319,3.623211
07.02.2023 ; 09:45:36,2076,2315,3.616767
07.02.2023 ; 09:45:38,2078,2311,3.610261
07.02.2023 ; 09:45:40,2080,2307,3.604595
07.02.2023 ; 09:45:42,2082,2310,3.609217
07.02.2023 ; 09:45:44,2084,2308,3.60583
07.02.2023 ; 09:45:46,2086,2309,3.608385
07.02.2023 ; 09:45:48,2088,2313,3.613339
07.02.2023 ; 09:45:50,2090,2314,3.616163
07.02.2023 ; 09:45:52,2092,2312,3.612231
