,Time-s,MFM-sig,MFM-flow
06.02.2023 ; 15:43:52,1158,2304,3.600256
06.02.2023 ; 15:43:54,1160,2314,3.615804
06.02.2023 ; 15:43:56,1162,2305,3.601018
06.02.2023 ; 15:43:58,1164,2304,3.60075
06.02.2023 ; 15:44:00,1166,2309,3.607631
06.02.2023 ; 15:44:02,1168,2305,3.60216
06.02.2023 ; 15:44:04,1170,2303,3.598581
06.02.2023 ; 15:44:06,1172,2309,3.607146
06.02.2023 ; 15:44:08,1174,2314,3.615077
06.02.2023 ; 15:44:10,1176,2311,3.611072
06.02.2023 ; 15:44:12,1178,2304,3.59975
06.02.2023 ; 15:44:14,1180,2307,3.604426
06.02.2023 ; 15:44:16,1182,2306,3.60262
06.02.2023 ; 15:44:18,1184,2315,3.617303
06.02.2023 ; 15:44:20,1186,2299,3.592924
06.02.2023 ; 15:44:22,1188,2304,3.60054
06.02.2023 ; 15:44:24,1190,2307,3.603915
06.02.2023 ; 15:44:26,1192,2310,3.60868
06.02.2023 ; 15:44:28,1194,2310,3.608316
06.02.2023 ; 15:44:30,1196,2303,3.598484
06.02.2023 ; 15:44:32,1198,2309,3.60752
06.02.2023 ; 15:44:34,1200,2323,3.629525
06.02.2023 ; 15:44:36,1202,2311,3.611659
06.02.2023 ; 15:44:38,1204,2297,3.589832
06.02.2023 ; 15:44:40,1206,2308,3.605722
06.02.2023 ; 15:44:42,1208,2306,3.602992
06.02.2023 ; 15:44:44,1210,2305,3.601631
06.02.2023 ; 15:44:46,1212,2284,3.568908
06.02.2023 ; 15:44:48,1214,2324,3.631853
06.02.2023 ; 15:44:50,1216,2313,3.613638
06.02.2023 ; 15:44:52,1218,2319,3.622746
06.02.2023 ; 15:44:54,1220,2307,3.605028
06.02.2023 ; 15:44:56,1222,2311,3.61091
06.02.2023 ; 15:44:58,1224,2309,3.607144
06.02.2023 ; 15:45:00,1226,2302,3.59652
06.02.2023 ; 15:45:02,1228,2308,3.606268
06.02.2023 ; 15:45:04,1230,2313,3.614355
06.02.2023 ; 15:45:06,1232,2302,3.59759
06.02.2023 ; 15:45:08,1234,2303,3.597661
06.02.2023 ; 15:45:10,1236,2301,3.595202
06.02.2023 ; 15:45:12,1238,2306,3.603205
06.02.2023 ; 15:45:14,1240,2297,3.589381
06.02.2023 ; 15:45:16,1242,2316,3.617991
06.02.2023 ; 15:45:18,1244,2305,3.602165
06.02.2023 ; 15:45:20,1246,2311,3.610275
06.02.2023 ; 15:45:22,1248,2311,3.610533
06.02.2023 ; 15:45:24,1250,2301,3.59545
06.02.2023 ; 15:45:26,1252,2312,3.612457
06.02.2023 ; 15:45:28,1254,2308,3.605745
06.02.2023 ; 15:45:30,1256,2312,3.611716
06.02.2023 ; 15:45:32,1258,2302,3.596883
06.02.2023 ; 15:45:34,1260,2308,3.606777
06.02.2023 ; 15:45:36,1262,2310,3.608706
06.02.2023 ; 15:45:38,1264,2305,3.602334
06.02.2023 ; 15:45:40,1266,2318,3.621481
06.02.2023 ; 15:45:42,1268,2307,3.604781
06.02.2023 ; 15:45:44,1270,2310,3.609377
06.02.2023 ; 15:45:46,1272,2317,3.62053
06.02.2023 ; 15:45:48,1274,2312,3.612015
06.02.2023 ; 15:45:50,1276,2313,3.614741
06.02.2023 ; 15:45:52,1278,2308,3.60686
06.02.2023 ; 15:45:54,1280,2311,3.611102
06.02.2023 ; 15:45:56,1282,2308,3.606281
06.02.2023 ; 15:45:58,1284,2311,3.611388
06.02.2023 ; 15:46:00,1286,2305,3.60082
06.02.2023 ; 15:46:02,1288,2312,3.612004
06.02.2023 ; 15:46:04,1290,2311,3.611382
06.02.2023 ; 15:46:06,1292,2293,3.582217
06.02.2023 ; 15:46:08,1294,2311,3.610559
06.02.2023 ; 15:46:10,1296,2317,3.62015
06.02.2023 ; 15:46:12,1298,2317,3.619816
06.02.2023 ; 15:46:14,1300,2313,3.613462
06.02.2023 ; 15:46:16,1302,2313,3.613486
06.02.2023 ; 15:46:18,1304,2309,3.607142
06.02.2023 ; 15:46:20,1306,2312,3.6121
06.02.2023 ; 15:46:22,1308,2306,3.603756
06.02.2023 ; 15:46:24,1310,2309,3.608385
06.02.2023 ; 15:46:26,1312,2306,3.602444
06.02.2023 ; 15:46:28,1314,2305,3.602154
06.02.2023 ; 15:46:30,1316,2302,3.596521
06.02.2023 ; 15:46:32,1318,2281,3.563307
06.02.2023 ; 15:46:34,1320,2296,3.587154
06.02.2023 ; 15:46:36,1322,2301,3.596077
06.02.2023 ; 15:46:38,1324,2312,3.613259
06.02.2023 ; 15:46:40,1326,2319,3.624196
06.02.2023 ; 15:46:42,1328,2328,3.636903
06.02.2023 ; 15:46:44,1330,2318,3.622149
06.02.2023 ; 15:46:46,1332,2305,3.601789
06.02.2023 ; 15:46:48,1334,2308,3.606041
06.02.2023 ; 15:46:50,1336,2306,3.603568
06.02.2023 ; 15:46:52,1338,2307,3.603926
06.02.2023 ; 15:46:54,1340,2315,3.61683
06.02.2023 ; 15:46:56,1342,2314,3.614928
06.02.2023 ; 15:46:58,1344,2312,3.611733
06.02.2023 ; 15:47:00,1346,2302,3.597274
06.02.2023 ; 15:47:02,1348,2310,3.608877
06.02.2023 ; 15:47:04,1350,2298,3.591007
06.02.2023 ; 15:47:06,1352,2302,3.59655
06.02.2023 ; 15:47:08,1354,2312,3.612935
06.02.2023 ; 15:47:10,1356,2311,3.61168
06.02.2023 ; 15:47:12,1358,2304,3.600543
06.02.2023 ; 15:47:14,1360,2298,3.591238
06.02.2023 ; 15:47:16,1362,2315,3.617856
06.02.2023 ; 15:47:18,1364,2312,3.611875
06.02.2023 ; 15:47:20,1366,2308,3.606103
06.02.2023 ; 15:47:22,1368,2302,3.597584
06.02.2023 ; 15:47:24,1370,2304,3.600264
06.02.2023 ; 15:47:26,1372,2315,3.617799
06.02.2023 ; 15:47:28,1374,2309,3.608105
06.02.2023 ; 15:47:30,1376,2311,3.611235
06.02.2023 ; 15:47:32,1378,2304,3.600425
06.02.2023 ; 15:47:34,1380,2313,3.614814
06.02.2023 ; 15:47:36,1382,2301,3.595868
06.02.2023 ; 15:47:38,1384,2311,3.611097
06.02.2023 ; 15:47:40,1386,2310,3.609586
06.02.2023 ; 15:47:42,1388,2299,3.592539
06.02.2023 ; 15:47:44,1390,2278,3.559902
06.02.2023 ; 15:47:46,1392,2304,3.599852
06.02.2023 ; 15:47:48,1394,2286,3.572391
06.02.2023 ; 15:47:50,1396,2324,3.63062
06.02.2023 ; 15:47:52,1398,2308,3.60586
06.02.2023 ; 15:47:54,1400,2312,3.612328
06.02.2023 ; 15:47:56,1402,2307,3.604119
06.02.2023 ; 15:47:58,1404,2310,3.609556
06.02.2023 ; 15:48:00,1406,2304,3.599766
06.02.2023 ; 15:48:02,1408,2308,3.606288
06.02.2023 ; 15:48:04,1410,2308,3.606335
06.02.2023 ; 15:48:06,1412,2306,3.60265
06.02.2023 ; 15:48:08,1414,2306,3.602213
06.02.2023 ; 15:48:10,1416,2311,3.611543
06.02.2023 ; 15:48:12,1418,2308,3.606282
06.02.2023 ; 15:48:14,1420,2296,3.588218
06.02.2023 ; 15:48:16,1422,2302,3.597655
06.02.2023 ; 15:48:18,1424,2305,3.600944
06.02.2023 ; 15:48:20,1426,2316,3.618835
06.02.2023 ; 15:48:22,1428,2311,3.609917
06.02.2023 ; 15:48:24,1430,2303,3.598313
06.02.2023 ; 15:48:26,1432,2298,3.590784
06.02.2023 ; 15:48:28,1434,2305,3.600343
06.02.2023 ; 15:48:30,1436,2300,3.594263
06.02.2023 ; 15:48:32,1438,2297,3.588745
06.02.2023 ; 15:48:34,1440,2302,3.596539
06.02.2023 ; 15:48:36,1442,2303,3.598148
06.02.2023 ; 15:48:38,1444,2303,3.598622
06.02.2023 ; 15:48:40,1446,2298,3.590789
06.02.2023 ; 15:48:42,1448,2298,3.590097
06.02.2023 ; 15:48:44,1450,2292,3.581237
06.02.2023 ; 15:48:46,1452,2303,3.598998
06.02.2023 ; 15:48:48,1454,2298,3.590229
06.02.2023 ; 15:48:50,1456,2303,3.598125
06.02.2023 ; 15:48:52,1458,2307,3.604836
06.02.2023 ; 15:48:54,1460,2303,3.598768
06.02.2023 ; 15:48:56,1462,2306,3.603579
06.02.2023 ; 15:48:58,1464,2303,3.599207
06.02.2023 ; 15:49:00,1466,2300,3.594382
06.02.2023 ; 15:49:02,1468,2297,3.589751
06.02.2023 ; 15:49:04,1470,2298,3.590809
06.02.2023 ; 15:49:06,1472,2300,3.593997
06.02.2023 ; 15:49:08,1474,2307,3.60495
06.02.2023 ; 15:49:10,1476,2302,3.596953
06.02.2023 ; 15:49:12,1478,2297,3.588821
06.02.2023 ; 15:49:14,1480,2308,3.606078
06.02.2023 ; 15:49:16,1482,2303,3.599191
06.02.2023 ; 15:49:18,1484,2302,3.5973
06.02.2023 ; 15:49:20,1486,2304,3.599801
06.02.2023 ; 15:49:22,1488,2307,3.604787
06.02.2023 ; 15:49:24,1490,2310,3.608857
06.02.2023 ; 15:49:26,1492,2304,3.599814
06.02.2023 ; 15:49:28,1494,2311,3.611078
06.02.2023 ; 15:49:30,1496,2305,3.601861
06.02.2023 ; 15:49:32,1498,2300,3.593642
06.02.2023 ; 15:49:34,1500,2307,3.604697
06.02.2023 ; 15:49:36,1502,2305,3.601205
06.02.2023 ; 15:49:38,1504,2313,3.614265
06.02.2023 ; 15:49:40,1506,2305,3.601498
06.02.2023 ; 15:49:42,1508,2305,3.602019
06.02.2023 ; 15:49:44,1510,2295,3.586296
06.02.2023 ; 15:49:46,1512,2303,3.598159
06.02.2023 ; 15:49:48,1514,2286,3.571956
06.02.2023 ; 15:49:50,1516,2298,3.590297
06.02.2023 ; 15:49:52,1518,2312,3.611737
06.02.2023 ; 15:49:54,1520,2313,3.613627
06.02.2023 ; 15:49:56,1522,2311,3.610468
06.02.2023 ; 15:49:58,1524,2317,3.620711
06.02.2023 ; 15:50:00,1526,2312,3.613207
06.02.2023 ; 15:50:02,1528,2313,3.613834
06.02.2023 ; 15:50:04,1530,2305,3.601834
06.02.2023 ; 15:50:06,1532,2307,3.604436
06.02.2023 ; 15:50:08,1534,2304,3.600473
06.02.2023 ; 15:50:10,1536,2299,3.592051
06.02.2023 ; 15:50:12,1538,2303,3.599494
06.02.2023 ; 15:50:14,1540,2312,3.611973
06.02.2023 ; 15:50:16,1542,2306,3.60345
06.02.2023 ; 15:50:18,1544,2303,3.598483
06.02.2023 ; 15:50:20,1546,2304,3.599795
06.02.2023 ; 15:50:22,1548,2302,3.596955
06.02.2023 ; 15:50:24,1550,2306,3.603224
06.02.2023 ; 15:50:26,1552,2306,3.603319
06.02.2023 ; 15:50:28,1554,2303,3.597659
06.02.2023 ; 15:50:30,1556,2305,3.601513
06.02.2023 ; 15:50:32,1558,2309,3.60783
06.02.2023 ; 15:50:34,1560,2305,3.601382
06.02.2023 ; 15:50:36,1562,2307,3.604855
06.02.2023 ; 15:50:38,1564,2302,3.597584
06.02.2023 ; 15:50:40,1566,2301,3.595975
06.02.2023 ; 15:50:42,1568,2309,3.607221
06.02.2023 ; 15:50:44,1570,2303,3.598785
06.02.2023 ; 15:50:46,1572,2303,3.598667
06.02.2023 ; 15:50:48,1574,2311,3.610172
06.02.2023 ; 15:50:50,1576,2308,3.605769
06.02.2023 ; 15:50:52,1578,2295,3.586027
06.02.2023 ; 15:50:54,1580,2310,3.608885
06.02.2023 ; 15:50:56,1582,2310,3.609519
06.02.2023 ; 15:50:58,1584,2311,3.611655
06.02.2023 ; 15:51:00,1586,2322,3.628053
06.02.2023 ; 15:51:02,1588,2312,3.612809
06.02.2023 ; 15:51:04,1590,2316,3.619364
06.02.2023 ; 15:51:06,1592,2316,3.618035
06.02.2023 ; 15:51:08,1594,2307,3.604866
06.02.2023 ; 15:51:10,1596,2313,3.613948
06.02.2023 ; 15:51:12,1598,2318,3.621629
06.02.2023 ; 15:51:14,1600,2312,3.612422
06.02.2023 ; 15:51:16,1602,2308,3.606263
06.02.2023 ; 15:51:18,1604,2307,3.604241
06.02.2023 ; 15:51:20,1606,2307,3.604079
06.02.2023 ; 15:51:22,1608,2310,3.608763
06.02.2023 ; 15:51:24,1610,2307,3.604609
06.02.2023 ; 15:51:26,1612,2308,3.605923
06.02.2023 ; 15:51:28,1614,2309,3.60726
06.02.2023 ; 15:51:30,1616,2313,3.613137
06.02.2023 ; 15:51:32,1618,2314,3.615059
06.02.2023 ; 15:51:34,1620,2320,3.625239
06.02.2023 ; 15:51:36,1622,2310,3.609725
06.02.2023 ; 15:51:38,1624,2303,3.597814
06.02.2023 ; 15:51:40,1626,2300,3.593911
06.02.2023 ; 15:51:42,1628,2315,3.61644
06.02.2023 ; 15:51:44,1630,2309,3.60775
06.02.2023 ; 15:51:46,1632,2314,3.615275
06.02.2023 ; 15:51:48,1634,2302,3.596108
06.02.2023 ; 15:51:50,1636,2310,3.609505
06.02.2023 ; 15:51:52,1638,2310,3.609121
06.02.2023 ; 15:51:54,1640,2312,3.612083
06.02.2023 ; 15:51:56,1642,2310,3.60914
06.02.2023 ; 15:51:58,1644,2311,3.610986
06.02.2023 ; 15:52:00,1646,2300,3.593997
06.02.2023 ; 15:52:02,1648,2304,3.600621
06.02.2023 ; 15:52:04,1650,2309,3.608097
06.02.2023 ; 15:52:06,1652,2270,3.546759
06.02.2023 ; 15:52:08,1654,2294,3.583898
06.02.2023 ; 15:52:10,1656,2310,3.609186
06.02.2023 ; 15:52:12,1658,2321,3.6263
06.02.2023 ; 15:52:14,1660,2309,3.608377
06.02.2023 ; 15:52:16,1662,2323,3.629392
06.02.2023 ; 15:52:18,1664,2321,3.6271
06.02.2023 ; 15:52:20,1666,2309,3.608332
06.02.2023 ; 15:52:22,1668,2301,3.596003
06.02.2023 ; 15:52:24,1670,2301,3.594686
06.02.2023 ; 15:52:26,1672,2307,3.605087
06.02.2023 ; 15:52:28,1674,2311,3.610462
06.02.2023 ; 15:52:30,1676,2310,3.609224
06.02.2023 ; 15:52:32,1678,2306,3.603098
06.02.2023 ; 15:52:34,1680,2310,3.609716
06.02.2023 ; 15:52:36,1682,2308,3.606824
06.02.2023 ; 15:52:38,1684,2307,3.604692
06.02.2023 ; 15:52:40,1686,2304,3.599836
06.02.2023 ; 15:52:42,1688,2309,3.607335
06.02.2023 ; 15:52:44,1690,2303,3.599597
06.02.2023 ; 15:52:46,1692,2305,3.60173
06.02.2023 ; 15:52:48,1694,2303,3.598661
06.02.2023 ; 15:52:50,1696,2312,3.612607
06.02.2023 ; 15:52:52,1698,2308,3.606436
06.02.2023 ; 15:52:54,1700,2309,3.607522
06.02.2023 ; 15:52:56,1702,2308,3.605722
06.02.2023 ; 15:52:58,1704,2312,3.61216
06.02.2023 ; 15:53:00,1706,2311,3.611647
06.02.2023 ; 15:53:02,1708,2308,3.606711
06.02.2023 ; 15:53:04,1710,2300,3.593706
06.02.2023 ; 15:53:06,1712,2305,3.601858
06.02.2023 ; 15:53:08,1714,2303,3.598008
06.02.2023 ; 15:53:10,1716,2305,3.601944
06.02.2023 ; 15:53:12,1718,2308,3.606853
06.02.2023 ; 15:53:14,1720,2304,3.59922
06.02.2023 ; 15:53:16,1722,2309,3.607168
06.02.2023 ; 15:53:18,1724,2301,3.595344
06.02.2023 ; 15:53:20,1726,2306,3.602938
06.02.2023 ; 15:53:22,1728,2306,3.6038
06.02.2023 ; 15:53:24,1730,2307,3.605021
06.02.2023 ; 15:53:26,1732,2305,3.600883
06.02.2023 ; 15:53:28,1734,2302,3.596838
06.02.2023 ; 15:53:30,1736,2298,3.591033
06.02.2023 ; 15:53:32,1738,2307,3.604158
06.02.2023 ; 15:53:34,1740,2299,3.592812
06.02.2023 ; 15:53:36,1742,2303,3.598563
06.02.2023 ; 15:53:38,1744,2306,3.603247
06.02.2023 ; 15:53:40,1746,2306,3.602798
06.02.2023 ; 15:53:42,1748,2308,3.606299
06.02.2023 ; 15:53:44,1750,2313,3.613798
06.02.2023 ; 15:53:46,1752,2309,3.608164
06.02.2023 ; 15:53:48,1754,2305,3.600864
06.02.2023 ; 15:53:50,1756,2305,3.600924
06.02.2023 ; 15:53:52,1758,2306,3.603604
06.02.2023 ; 15:53:54,1760,2300,3.593458
06.02.2023 ; 15:53:56,1762,2304,3.600693
06.02.2023 ; 15:53:58,1764,2303,3.598799
06.02.2023 ; 15:54:00,1766,2305,3.602195
06.02.2023 ; 15:54:02,1768,2299,3.592958
06.02.2023 ; 15:54:04,1770,2301,3.594738
06.02.2023 ; 15:54:06,1772,2302,3.597445
06.02.2023 ; 15:54:08,1774,2300,3.593494
06.02.2023 ; 15:54:10,1776,2296,3.587791
06.02.2023 ; 15:54:12,1778,2301,3.595042
06.02.2023 ; 15:54:14,1780,2297,3.589811
06.02.2023 ; 15:54:16,1782,2299,3.592575
06.02.2023 ; 15:54:18,1784,2297,3.588758
06.02.2023 ; 15:54:20,1786,2294,3.585258
06.02.2023 ; 15:54:22,1788,2306,3.603574
06.02.2023 ; 15:54:24,1790,2306,3.603003
06.02.2023 ; 15:54:26,1792,2303,3.598891
06.02.2023 ; 15:54:28,1794,2301,3.594769
06.02.2023 ; 15:54:30,1796,2291,3.579357
06.02.2023 ; 15:54:32,1798,2298,3.59137
06.02.2023 ; 15:54:34,1800,2309,3.607632
06.02.2023 ; 15:54:36,1802,2299,3.592565
06.02.2023 ; 15:54:38,1804,2305,3.601381
06.02.2023 ; 15:54:40,1806,2298,3.590227
06.02.2023 ; 15:54:42,1808,2299,3.592585
06.02.2023 ; 15:54:44,1810,2298,3.591461
06.02.2023 ; 15:54:46,1812,2306,3.602365
06.02.2023 ; 15:54:48,1814,2304,3.600743
06.02.2023 ; 15:54:50,1816,2303,3.598411
06.02.2023 ; 15:54:52,1818,2302,3.596241
06.02.2023 ; 15:54:54,1820,2304,3.6006
06.02.2023 ; 15:54:56,1822,2297,3.589688
06.02.2023 ; 15:54:58,1824,2296,3.587797
06.02.2023 ; 15:55:00,1826,2305,3.601204
06.02.2023 ; 15:55:02,1828,2303,3.59897
06.02.2023 ; 15:55:04,1830,2296,3.587466
06.02.2023 ; 15:55:06,1832,2303,3.599194
06.02.2023 ; 15:55:08,1834,2297,3.588379
06.02.2023 ; 15:55:10,1836,2302,3.596914
06.02.2023 ; 15:55:12,1838,2300,3.594483
06.02.2023 ; 15:55:14,1840,2301,3.594616
06.02.2023 ; 15:55:16,1842,2296,3.587674
06.02.2023 ; 15:55:18,1844,2303,3.598052
06.02.2023 ; 15:55:20,1846,2307,3.60453
06.02.2023 ; 15:55:22,1848,2302,3.597919
06.02.2023 ; 15:55:24,1850,2297,3.589613
06.02.2023 ; 15:55:26,1852,2299,3.59208
06.02.2023 ; 15:55:28,1854,2302,3.596825
06.02.2023 ; 15:55:30,1856,2298,3.591225
06.02.2023 ; 15:55:32,1858,2308,3.606806
06.02.2023 ; 15:55:34,1860,2304,3.599434
06.02.2023 ; 15:55:36,1862,2309,3.607524
06.02.2023 ; 15:55:38,1864,2301,3.596059
06.02.2023 ; 15:55:40,1866,2298,3.591041
06.02.2023 ; 15:55:42,1868,2301,3.594677
06.02.2023 ; 15:55:44,1870,2301,3.595738
06.02.2023 ; 15:55:46,1872,2303,3.598676
06.02.2023 ; 15:55:48,1874,2298,3.591218
06.02.2023 ; 15:55:50,1876,2304,3.600466
06.02.2023 ; 15:55:52,1878,2302,3.597816
06.02.2023 ; 15:55:54,1880,2302,3.597343
06.02.2023 ; 15:55:56,1882,2298,3.590234
06.02.2023 ; 15:55:58,1884,2309,3.608429
06.02.2023 ; 15:56:00,1886,2302,3.597422
06.02.2023 ; 15:56:02,1888,2298,3.590324
06.02.2023 ; 15:56:04,1890,2301,3.595374
06.02.2023 ; 15:56:06,1892,2298,3.590027
06.02.2023 ; 15:56:08,1894,2297,3.588948
06.02.2023 ; 15:56:10,1896,2317,3.620677
06.02.2023 ; 15:56:12,1898,2296,3.587576
06.02.2023 ; 15:56:14,1900,2299,3.591918
06.02.2023 ; 15:56:16,1902,2301,3.594841
06.02.2023 ; 15:56:18,1904,2304,3.599478
06.02.2023 ; 15:56:20,1906,2308,3.606686
06.02.2023 ; 15:56:22,1908,2308,3.605595
06.02.2023 ; 15:56:24,1910,2310,3.609973
06.02.2023 ; 15:56:26,1912,2309,3.608097
06.02.2023 ; 15:56:28,1914,2317,3.620075
06.02.2023 ; 15:56:30,1916,2308,3.606921
06.02.2023 ; 15:56:32,1918,2303,3.598446
06.02.2023 ; 15:56:34,1920,2311,3.610622
06.02.2023 ; 15:56:36,1922,2303,3.598223
06.02.2023 ; 15:56:38,1924,2296,3.58693
06.02.2023 ; 15:56:40,1926,2301,3.596058
06.02.2023 ; 15:56:42,1928,2299,3.591498
06.02.2023 ; 15:56:44,1930,2288,3.574821
06.02.2023 ; 15:56:46,1932,2279,3.560592
06.02.2023 ; 15:56:48,1934,2293,3.58291
06.02.2023 ; 15:56:50,1936,2296,3.587782
06.02.2023 ; 15:56:52,1938,2297,3.589347
06.02.2023 ; 15:56:54,1940,2305,3.602109
06.02.2023 ; 15:56:56,1942,2306,3.603182
06.02.2023 ; 15:56:58,1944,2306,3.603138
06.02.2023 ; 15:57:00,1946,2305,3.601391
06.02.2023 ; 15:57:02,1948,2320,3.625304
06.02.2023 ; 15:57:04,1950,2322,3.627764
06.02.2023 ; 15:57:06,1952,2317,3.620424
06.02.2023 ; 15:57:08,1954,2321,3.626862
06.02.2023 ; 15:57:10,1956,2319,3.623586
06.02.2023 ; 15:57:12,1958,2314,3.615901
06.02.2023 ; 15:57:14,1960,2309,3.608113
06.02.2023 ; 15:57:16,1962,2312,3.6118
06.02.2023 ; 15:57:18,1964,2317,3.619938
06.02.2023 ; 15:57:20,1966,2314,3.615009
06.02.2023 ; 15:57:22,1968,2311,3.61051
06.02.2023 ; 15:57:24,1970,2311,3.611043
06.02.2023 ; 15:57:26,1972,2308,3.606099
06.02.2023 ; 15:57:28,1974,2308,3.605921
06.02.2023 ; 15:57:30,1976,2309,3.607966
06.02.2023 ; 15:57:32,1978,2312,3.613041
06.02.2023 ; 15:57:34,1980,2308,3.606984
06.02.2023 ; 15:57:36,1982,2310,3.608862
06.02.2023 ; 15:57:38,1984,2309,3.608031
06.02.2023 ; 15:57:40,1986,2310,3.608337
06.02.2023 ; 15:57:42,1988,2314,3.615779
06.02.2023 ; 15:57:44,1990,2317,3.620035
06.02.2023 ; 15:57:46,1992,2312,3.612741
06.02.2023 ; 15:57:48,1994,2311,3.610618
06.02.2023 ; 15:57:50,1996,2311,3.610805
